,genus,species,min_max_size,dispersal_unit,class_1,class_2,polarity,P/E,2D_shape,3D_shape,aperture_type,aperture_features_1,aperture_features_2,aperture_features_3,viscin,ubisch,a_prefix_1,a_prefix_2,a_prefix_3,ornamentation_1,ornamentation_2,ornamentation_3,ornamentation_4,ornamentation_5,ornamentation_6,ornamentation_7,phyla,family,order
Artemisia montana,Artemisia,montana,"21,25",monad,colporate,-,isopolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia mutellina,Artemisia,mutellina,"21,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia pancicii,Artemisia,pancicii,"21,30",monad,colporate,-,isopolar,-,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,verrucate,gemmate,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia pontica,Artemisia,pontica,"16,25",monad,colporate,-,isopolar,oblate,lobate,-,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,verrucate,gemmate,granulate,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia santonica,Artemisia,santonica,"16,20",monad,colporate,-,-,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia vulgaris,Artemisia,vulgaris,"16,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,granulate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Arthropodium cirrhatum,Arthropodium,cirrhatum,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Arum maculatum,Arum,maculatum,"36,40",monad,porate,-,heteropolar,isodiametric,circular,spheroidal,porus,-,-,-,viscin threads,-,-,-,-,echinate,free standing columellae,-,-,-,-,-,Angiospermae,Alismatales,Araceae
Aruncus dioicus,Aruncus,dioicus,"11,20",monad,colporate,-,isopolar,-,triangular,spheroidal,colporus,,-,-,viscin threads,-,tri,-,-,rugulate,free standing columellae,perforate,-,-,-,-,Angiospermae,Rosales,Rosaceae
Asarina procumbens,Asarina,procumbens,"10,25",monad,,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,,-,-,free standing columellae,-,-,-,-,-,-,Angiospermae,Lamiales,Scrophulariaceae
Asarum europaeum,Asarum,europaeum,"26,50",monad,inaperturate,-,-,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,gemmate,free standing columellae,-,-,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Asarum maximum,Asarum,maximum,"26,50",monad,colpate,-,isopolar,oblate,circular,-,colpus,brevicolpus,-,-,viscin threads,ubisch bodies,tetra,-,-,gemmate,free standing columellae,-,-,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Asclepias curassavica,Asclepias,curassavica,"101,101",pollinium,polyad,-,heteropolar,-,irregular,irregular,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,free standing columellae,-,-,-,-,-,Angiospermae,Gentianales,Apocynaceae
Asclepias syriaca,Asclepias,syriaca,"101,101",pollinium,-,-,heteropolar,-,irregular,irregular,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,free standing columellae,-,-,-,-,-,Angiospermae,Gentianales,Apocynaceae
Asimina triloba,Asimina,triloba,"51,101",tetrad,tetrad,inaperturate,heteropolar,oblate,-,rounded cuboid,inaperturate,-,-,-,viscin threads,-,in,-,-,scabrate,free standing columellae,gemmate,-,-,-,-,Angiospermae,Magnoliales,Annonaceae
Asparagus acutifolius,Asparagus,acutifolius,"11,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,-,-,-,viscin threads,-,-,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Asparagus asparagoides,Asparagus,asparagoides,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,heterobrochate,-,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Asparagus officinalis,Asparagus,officinalis,"16,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,scabrate,perforate,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Asparagus tenuifolius,Asparagus,tenuifolius,"21,25",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,-,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Asperugo procumbens,Asperugo,procumbens,"10,25",monad,colporate,-,isopolar,prolate,circular,-,colporus,heteroaperturate, pseudocolpus, margo,viscin threads,ubisch bodies,tri,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,unplaced,Boraginaceae
Asperula cynanchica,Asperula,cynanchica,"11,20",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,panto,stephano,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Gentianales,Rubiaceae
Asperula neilreichii,Asperula,neilreichii,"11,20",monad,colpate,-,isopolar,oblate,-,-,colpus,-,-,-,viscin threads,-,hexa,stephano,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Gentianales,Rubiaceae
Asperula tinctoria,Asperula,tinctoria,"11,20",monad,colpate,-,isopolar,oblate,elliptic,-,colpus,-,-,-,viscin threads,-,panto,stephano,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Gentianales,Rubiaceae
Asphodeline lutea,Asphodeline,lutea,"51,100",monad,sulcate,-,heteropolar,-,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,reticulate,-,-,-,Angiospermae,Asparagales,Xanthorrhoeaceae
Asphodelus aestivus,Asphodelus,aestivus,"51,100",monad,sulcate,-,heteropolar,isodiametric,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,verrucate,perforate,-,-,-,-,-,Angiospermae,Asparagales,Xanthorrhoeaceae
Asphodelus albus,Asphodelus,albus,"41,100",monad,sulcate,-,heteropolar,isodiametric,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Asparagales,Xanthorrhoeaceae
Asphodelus fistulosus,Asphodelus,fistulosus,"51,100",monad,sulcate,-,heteropolar,isodiametric,elliptic,-,sulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Asparagales,Xanthorrhoeaceae
Asphodelus microcarpus,Asphodelus,microcarpus,"31,100",monad,sulcate,-,heteropolar,isodiametric,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Asparagales,Xanthorrhoeaceae
Aspidistra elatior,Aspidistra,elatior,"26,50",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,-,-,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Aspidistra locii,Aspidistra,locii,"26,50",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,gemmate,-,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Asplundia pittieri,Asplundia,pittieri,"10,25",monad,ulcerate,-,heteropolar,oblate,elliptic,bean-shaped,ulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Pandanales,Cyclanthaceae
Aster alpinus,Aster,alpinus,"26,35",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Aster amellus,Aster,amellus,"21,30",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Aster linosyris,Aster,linosyris,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Aster novae-angliae,Aster,novae-angliae,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Aster novi-belgii,Aster,novi-belgii,"21,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Aster tripolium,Aster,tripolium,"21,30",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Asterostigma lividum,Asterostigma,lividum,"26,50",monad,inaperturate,-,-,-,-,-,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,granulate,-,-,-,-,-,-,Angiospermae,Alismatales,Araceae
Astracantha sicula,Astracantha,sicula,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,margo,-,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus alopecurus,Astragalus,alopecurus,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus alpinus,Astragalus,alpinus,"16,20",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,-,tri,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus asper,Astragalus,asper,"26,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,perforate,reticulate,psilate,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus australis,Astragalus,australis,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,margo,-,-,viscin threads,-,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus austriacus,Astragalus,austriacus,"16,25",monad,colporate,-,isopolar,prolate,circular,-,colporus,,-,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus cicer,Astragalus,cicer,"26,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,perforate,reticulate,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus frigidus,Astragalus,frigidus,"16,30",monad,colporate,-,isopolar,prolate,circular,-,colporus,, margo,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus glycyphyllos,Astragalus,glycyphyllos,"21,25",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus gummifer,Astragalus,gummifer,"26,35",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus hamosus,Astragalus,hamosus,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,margo,-,-,viscin threads,-,tri,-,-,perforate,psilate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus leontinus,Astragalus,leontinus,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,,-,-,viscin threads,-,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus monspessulanus,Astragalus,monspessulanus,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,,-,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus muelleri,Astragalus,muelleri,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,,-,-,viscin threads,-,tri,-,-,foveolate,reticulate,perforate,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus onobrychis,Astragalus,onobrychis,"26,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus penduliflorus,Astragalus,penduliflorus,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,, margo,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus sempervirens,Astragalus,sempervirens,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus sulcatus,Astragalus,sulcatus,"16,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus tragacantha,Astragalus,tragacantha,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,, margo,-,viscin threads,-,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astragalus vesicarius,Astragalus,vesicarius,"21,30",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Astrantia carniolica,Astrantia,carniolica,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Apiales,Apiaceae
Astrantia major,Astrantia,major,"21,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,scabrate,verrucate,gemmate,rugulate,perforate,-,-,Angiospermae,Apiales,Apiaceae
Astrophytum asterias,Astrophytum,asterias,"51,100",monad,colpate,-,-,-,circular,spheroidal,colpus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Cactaceae
Asyneuma canescens,Asyneuma,canescens,"26,50",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tetra,-,-,echinate,striato,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Asystasia gangetica,Asystasia,gangetica,"16,35",monad,colporate,-,isopolar,prolate,triangular,-,colporus,, planaperturate,-,viscin threads,ubisch bodies,di,-,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Lamiales,Acanthaceae
Athamanta cretensis,Athamanta,cretensis,"16,30",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Apiales,Apiaceae
Athrotaxis cupressoides,Athrotaxis,cupressoides,"26,50",monad,-,-,heteropolar,-,circular,spheroidal,leptoma,-,-,-,viscin threads,-,-,-,-,scabrate,granulate,-,-,-,-,-,Gymnospermae,Pinales,Cupressaceae
Carlina gummifera,Carlina,gummifera,"41,100",monad,colporate,-,isopolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Atraphaxis buxifolia,Atraphaxis,buxifolia,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,striate,perforate,-,-,-,-,-,Angiospermae,Caryophyllales,Polygonaceae
Aplex lampa,Aplex,lampa,"21,30",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Caryophyllales,Amaranthaceae
Aplex patula,Aplex,patula,"21,25",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,ubisch bodies,panto,panto,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Caryophyllales,Amaranthaceae
Aplex sagittata,Aplex,sagittata,"10,25",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,ubisch bodies,panto,panto,-,scabrate,perforate,-,-,-,-,-,Angiospermae,Caryophyllales,Amaranthaceae
Aplex tatarica,Aplex,tatarica,"26,30",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,ubisch bodies,panto,panto,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Caryophyllales,Amaranthaceae
Atropa bella-donna,Atropa,bella-donna,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,striatoreticulatestriato,-,-,-,-,-,-,Angiospermae,Solanales,Solanaceae
Atropa belladonna,Atropa,belladonna,"31,50",monad,colporate,-,isopolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,striate,-,-,-,-,-,-,Angiospermae,Solanales,Solanaceae
Aucuba japonica,Aucuba,japonica,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,baculate,-,-,-,-,-,-,Angiospermae,Garryales,Garryaceae
Aurinia corymbosa,Aurinia,corymbosa,"10,25",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Aurinia leucadaea,Aurinia,leucadaea,"16,25",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Aurinia saxatilis,Aurinia,saxatilis,"10,25",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Austrobaileya scandens,Austrobaileya,scandens,"51,100",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Austrobaileyales,Austrobaileyaceae
Avena sativa,Avena,sativa,"26,50",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,operculum, annulus,-,viscin threads,ubisch bodies,-,-,-,scabrate,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Avenula pubescens,Avenula,pubescens,"26,50",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,operculum, annulus,-,viscin threads,ubisch bodies,-,-,-,scabrate,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Averrhoa bilimbi,Averrhoa,bilimbi,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,ubisch bodies,tri,-,-,foveolate,perforate,free standing columellae,-,-,-,-,Angiospermae,Oxalidales,Oxalidaceae
Averrhoa carambola,Averrhoa,carambola,"11,20",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Oxalidales,Oxalidaceae
Axinaea affinis,Axinaea,affinis,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,ubisch bodies,tri,-,-,striate,-,-,-,-,-,-,Angiospermae,Myrtales,Melastomataceae
Axinaea lehmannii,Axinaea,lehmannii,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,ubisch bodies,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Myrtales,Melastomataceae
Aztekium ritteri,Aztekium,ritteri,"51,100",monad,colpate,-,-,-,circular,spheroidal,colpus,, pantoaperturate,-,viscin threads,ubisch bodies,hexa,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Cactaceae
Babiana velutina,Babiana,velutina,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,operculum,-,-,viscin threads,-,-,-,-,perforate,-,-,-,-,-,-,Angiospermae,Asparagales,Iridaceae
Baccharis dracunculifolia,Baccharis,dracunculifolia,"11,20",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Ballota frutescens,Ballota,frutescens,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,bireticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Ballota nigra,Ballota,nigra,"21,25",monad,colpate,-,isopolar,isodiametric,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Banksia integrifolia,Banksia,integrifolia,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,perforate,-,-,-,-,-,-,Angiospermae,Proteales,Proteaceae
Banksia serrata,Banksia,serrata,"51,100",monad,porate,-,heteropolar,oblate,triangular,-,porus,angulaperturate,-,-,viscin threads,-,tri,-,-,verrucate,-,-,-,-,-,-,Angiospermae,Proteales,Proteaceae
Baptisia australis,Baptisia,australis,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,-,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Barbacenia elegans,Barbacenia,elegans,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,di,-,-,-,-,-,-,-,-,-,Angiospermae,Pandanales,Velloziaceae
Barbarea stricta,Barbarea,stricta,"16,20",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Barbarea vulgaris,Barbarea,vulgaris,"11,20",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Barleria rigida,Barleria,rigida,"51,100",monad,colpate,-,isopolar,oblate,polygonal,-,colpus,-,-,-,viscin threads,-,hexa,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Barringtonia asiatica,Barringtonia,asiatica,"36,50",monad,,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,ubisch bodies,,syn,-,psilate,-,-,-,-,-,-,Angiospermae,Ericales,Lecythidaceae
Barringtonia racemosa,Barringtonia,racemosa,"26,50",monad,,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,ubisch bodies,,syn,-,psilate,reticulate,-,-,-,-,-,Angiospermae,Ericales,Lecythidaceae
Bartsia alpina,Bartsia,alpina,"36,40",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,scabrate,-,-,-,-,-,-,Angiospermae,Lamiales,Orobanchaceae
Basella alba,Basella,alba,"26,50",monad,colpate,-,heteropolar,-,quadrangular,polygonal,colpus,-,margo,-,viscin threads,-,hexa,panto,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Caryophyllales,Basellaceae
Basella rubra,Basella,rubra,"26,50",monad,colpate,-,heteropolar,-,quadrangular,polygonal,colpus,-,-,-,viscin threads,-,hexa,panto,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Caryophyllales,Basellaceae
Bassia laniflora,Bassia,laniflora,"26,30",monad,porate,-,isopolar,isodiametric,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,-,panto,panto,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Caryophyllales,Amaranthaceae
Bassia prostrata,Bassia,prostrata,"21,25",monad,porate,-,isopolar,-,circular,spheroidal,porus,,-,-,viscin threads,-,panto,panto,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Caryophyllales,Amaranthaceae
Bassia scoparia,Bassia,scoparia,"31,35",monad,porate,-,isopolar,-,circular,spheroidal,porus,operculum,-,-,viscin threads,ubisch bodies,panto,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Caryophyllales,Amaranthaceae
Bauhinia tomentosa,Bauhinia,tomentosa,"101,101",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,penta,stephano,-,croton,pattern,reticulate,verrucate,gemmate,-,-,Angiospermae,Fabales,Fabaceae
